,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Moving Sink Cock(L/R),1011 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock(L/R),1011 B1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock(L/R),1011 B2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock(L/R),1011 B3,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 B1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1038 B,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Basin Mixar,1003 B,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Basin Mixar,1037 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 B1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 B2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1026 B,Metal,Suzon,pcs,,0.0,5,0,
,,Tow in One Bib Cock,1016 B,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1000 B,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1001 B,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1/2'',1014 C,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 3/4'',1013 C,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1'',1040 C,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 C,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 C+,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 C,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 C+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 C,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1007 C,Metal,Suzon,pcs,,0.0,5,0,
,,Sink Bib Cock,1006 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1009 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 C1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1039 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 C1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 C2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 C3,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Besin Mixer,1002 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Besin Mixer,1002 C1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Besin Mixer,1038 C,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Besin Mixer,1003 C,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Besin Mixer,1037 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 C,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 C1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 C2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1026 C,Metal,Suzon,pcs,,0.0,5,0,
,,Tow in One Bib Cock,1016 C,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1000 C,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1001 C,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1/2'',1014 D,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 3/4'',1013 D,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1'',1040 D,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 D,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 D+,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 D,Metal,Suzon,pcs,,0.0,5,0,
,,Mini Angle Stop Cock,1012 D+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 D+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008D,Metal,Suzon,pcs,,0.0,5,0,
